age,workclass,education,education_num,marital_status,occupation,sex,capital_gain,capital_loss,hours_per_week,native_country,discretized_gross_income,workclass_sc,education_sc,marital_status_sc,occupation_sc
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Male,0,0,40,United-States,<=50K,Gov,School,Married,Farming
18,Private,HS-grad,9,Never-married,Sales,Male,0,0,30,United-States,<=50K,Private,HS-grad,Never-married,Sales
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Male,0,0,40,Cuba,<=50K,Private,Bachelors,Married,Service
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Female,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
59,Private,HS-grad,9,Married-civ-spouse,Sales,Male,0,0,48,United-States,<=50K,Private,HS-grad,Married,Sales
44,Private,HS-grad,9,Divorced,Craft-repair,Female,14344,0,40,United-States,>50K,Private,HS-grad,Divorced,Service
53,Private,HS-grad,9,Divorced,Sales,Female,0,0,35,United-States,<=50K,Private,HS-grad,Divorced,Sales
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Male,0,0,40,United-States,>50K,Gov,HS-grad,Married,Service
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,0,0,50,United-States,<=50K,Private,Masters,Married,Professional
30,Private,9th,5,Never-married,Sales,Male,0,0,40,United-States,<=50K,Private,School,Never-married,Sales
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Female,0,0,50,United-States,>50K,Gov,Doctorate,Never-married,Professional
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,<=50K,Private,Assoc-voc,Married,Professional
37,Private,Some-college,10,Divorced,Craft-repair,Female,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Service
28,Private,Some-college,10,Divorced,Machine-op-inspct,Female,0,0,25,United-States,<=50K,Private,Some-college,Divorced,Service
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Male,0,0,40,United-States,>50K,Gov,Bachelors,Married,Service
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Male,0,0,50,United-States,<=50K,Gov,Some-college,Never-married,Service
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,1902,60,United-States,>50K,Self-employed,Doctorate,Married,Professional
37,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,0,48,United-States,>50K,Private,Some-college,Married,Sales
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Female,0,0,40,England,<=50K,Private,Assoc-acdm,Divorced,Manager
32,Federal-gov,HS-grad,9,Never-married,Other-service,Male,0,0,40,United-States,<=50K,Gov,HS-grad,Never-married,Service
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,0,40,United-States,>50K,Private,Masters,Married,Manager
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,15024,0,60,United-States,>50K,Private,Bachelors,Married,Manager
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Female,0,0,50,United-States,<=50K,Self-employed,Masters,Never-married,Professional
20,Private,Some-college,10,Never-married,Tech-support,Female,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Service
29,Private,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,7688,0,40,United-States,>50K,Self-employed,HS-grad,Married,Service
30,Private,11th,7,Never-married,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,School,Never-married,Service
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Female,0,0,40,United-States,<=50K,Gov,HS-grad,Never-married,Adm-clerical
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
24,Private,Bachelors,13,Never-married,Sales,Male,0,0,40,United-States,<=50K,Private,Bachelors,Never-married,Sales
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,>50K,Private,Prof-school,Married,Professional
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Male,0,1887,50,Canada,>50K,Self-employed,HS-grad,Married,Service
28,Private,Some-college,10,Married-civ-spouse,Sales,Female,4064,0,25,United-States,<=50K,Private,Some-college,Married,Sales
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Female,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Male,0,0,50,United-States,<=50K,Private,School,Married,Service
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Male,0,0,50,United-States,<=50K,Self-employed,Some-college,Married,Sales
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,>50K,Gov,Assoc-voc,Married,Service
55,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,0,56,United-States,<=50K,Private,Some-college,Married,Sales
22,Private,HS-grad,9,Never-married,Craft-repair,Male,0,0,41,United-States,<=50K,Private,HS-grad,Never-married,Service
21,Private,Some-college,10,Never-married,Other-service,Female,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Service
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,0,60,United-States,<=50K,Private,Bachelors,Married,Manager
30,Private,Bachelors,13,Never-married,Exec-managerial,Male,0,0,40,Germany,<=50K,Private,Bachelors,Never-married,Manager
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,50,United-States,>50K,Gov,Bachelors,Married,Professional
19,Private,Some-college,10,Never-married,Other-service,Male,0,0,35,United-States,<=50K,Private,Some-college,Never-married,Service
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Female,0,0,40,United-States,>50K,Private,Bachelors,Married,Manager
20,Private,Some-college,10,Never-married,Adm-clerical,Female,0,1719,28,United-States,<=50K,Private,Some-college,Never-married,Adm-clerical
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Male,0,0,40,United-States,>50K,Private,Assoc-acdm,Married,Adm-clerical
39,Private,Some-college,10,Divorced,Craft-repair,Male,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Service
28,Private,Assoc-acdm,12,Never-married,Sales,Female,0,0,60,United-States,<=50K,Private,Assoc-acdm,Never-married,Sales
24,Private,HS-grad,9,Never-married,Other-service,Female,0,1762,40,United-States,<=50K,Private,HS-grad,Never-married,Service
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,4386,0,35,United-States,<=50K,Self-employed,HS-grad,Married,Service
37,Private,Bachelors,13,Married-civ-spouse,Sales,Male,0,0,50,United-States,<=50K,Private,Bachelors,Married,Sales
46,Private,Assoc-acdm,12,Divorced,Tech-support,Female,0,0,36,United-States,<=50K,Private,Assoc-acdm,Divorced,Service
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Male,0,0,40,Iran,>50K,Gov,Masters,Married,Professional
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,60,United-States,<=50K,Self-employed,HS-grad,Married,Service
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Female,0,0,35,United-States,<=50K,Private,Assoc-voc,Married,Adm-clerical
20,Private,Some-college,10,Never-married,Sales,Male,0,0,20,United-States,<=50K,Private,Some-college,Never-married,Sales
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,>50K,Private,Some-college,Married,Service
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Self-employed,HS-grad,Married,Service
27,Private,Some-college,10,Never-married,Sales,Female,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Sales
19,Private,Some-college,10,Never-married,Other-service,Male,0,0,30,Mexico,<=50K,Private,Some-college,Never-married,Service
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Female,0,1564,40,United-States,>50K,Private,Assoc-voc,Never-married,Professional
70,Private,Some-college,10,Never-married,Tech-support,Male,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Service
31,Private,HS-grad,9,Never-married,Transport-moving,Female,0,0,30,United-States,<=50K,Private,HS-grad,Never-married,Service
22,Private,Some-college,10,Married-civ-spouse,Other-service,Male,0,0,24,United-States,<=50K,Private,Some-college,Married,Service
36,Private,HS-grad,9,Widowed,Other-service,Female,0,0,24,United-States,<=50K,Private,HS-grad,Widowed,Service
64,Private,11th,7,Married-civ-spouse,Craft-repair,Male,0,2179,40,United-States,<=50K,Private,School,Married,Service
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Female,0,0,38,Mexico,<=50K,Gov,Some-college,Divorced,Adm-clerical
34,Private,HS-grad,9,Never-married,Adm-clerical,Female,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Adm-clerical
33,Private,Bachelors,13,Never-married,Exec-managerial,Female,0,0,40,Philippines,<=50K,Private,Bachelors,Never-married,Manager
21,Private,HS-grad,9,Never-married,Craft-repair,Male,0,0,35,United-States,<=50K,Private,HS-grad,Never-married,Service
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,46,United-States,<=50K,Private,HS-grad,Married,Service
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,Bachelors,Never-married,Service
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Male,0,1816,2,United-States,<=50K,Self-employed,Some-college,Separated,Sales
29,Private,HS-grad,9,Divorced,Craft-repair,Male,0,0,60,United-States,<=50K,Private,HS-grad,Divorced,Service
42,Private,Bachelors,13,Separated,Other-service,Male,0,0,50,United-States,<=50K,Private,Bachelors,Separated,Service
25,Private,HS-grad,9,Never-married,Other-service,Female,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Female,0,0,40,United-States,<=50K,Self-employed,Masters,Divorced,Manager
28,Private,HS-grad,9,Never-married,Exec-managerial,Female,0,0,40,England,<=50K,Private,HS-grad,Never-married,Manager
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Male,0,0,40,United-States,>50K,Self-employed,Masters,Married,Sales
36,Private,Some-college,10,Divorced,Other-service,Female,0,0,40,Mexico,<=50K,Private,Some-college,Divorced,Service
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Male,0,0,42,United-States,<=50K,Gov,Assoc-acdm,Never-married,Manager
46,State-gov,Masters,14,Widowed,Protective-serv,Male,0,0,40,United-States,<=50K,Gov,Masters,Widowed,Service
18,Private,11th,7,Never-married,Handlers-cleaners,Male,0,0,16,United-States,<=50K,Private,School,Never-married,Service
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Female,0,0,20,United-States,<=50K,Gov,Assoc-voc,Widowed,Professional
27,Private,HS-grad,9,Never-married,Other-service,Male,0,1980,40,United-States,<=50K,Private,HS-grad,Never-married,Service
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Male,0,0,40,United-States,<=50K,Gov,HS-grad,Married,Service
51,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,1977,40,United-States,>50K,Private,Some-college,Married,Sales
27,Private,Bachelors,13,Never-married,Craft-repair,Male,0,0,50,United-States,<=50K,Private,Bachelors,Never-married,Service
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,40,United-States,>50K,Gov,Bachelors,Married,Professional
27,Private,HS-grad,9,Married-spouse-absent,Sales,Female,0,0,25,United-States,<=50K,Private,HS-grad,Married,Sales
21,Private,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Service
18,Private,HS-grad,9,Never-married,Other-service,Male,0,0,12,United-States,<=50K,Private,HS-grad,Never-married,Service
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,65,United-States,<=50K,Private,Bachelors,Married,Professional
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,0,38,United-States,>50K,Gov,Some-college,Married,Manager
43,Private,Some-college,10,Divorced,Adm-clerical,Female,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Adm-clerical
30,Private,Some-college,10,Never-married,Craft-repair,Male,0,0,45,United-States,<=50K,Private,Some-college,Never-married,Service
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Male,0,0,40,Mexico,>50K,Private,School,Married,Service
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Male,0,0,42,United-States,>50K,Gov,Some-college,Married,Adm-clerical
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Adm-clerical
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Female,0,0,40,United-States,<=50K,Self-employed,Bachelors,Divorced,Manager
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Female,0,0,50,United-States,<=50K,Private,Masters,Married,Professional
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,0,1,United-States,>50K,Gov,Doctorate,Married,Professional
38,Private,Some-college,10,Divorced,Machine-op-inspct,Female,0,0,28,United-States,<=50K,Private,Some-college,Divorced,Service
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,0,0,40,United-States,<=50K,Private,Some-college,Married,Service
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Gov,Bachelors,Married,Service
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Male,0,0,45,United-States,<=50K,Private,Some-college,Married,Service
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Male,0,0,24,United-States,<=50K,Gov,Bachelors,Married,Service
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Male,0,0,40,Mexico,<=50K,Private,School,Married,Service
36,Private,Some-college,10,Divorced,Craft-repair,Male,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Service
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Female,14084,0,55,United-States,>50K,Gov,Masters,Never-married,Manager
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,7298,0,40,United-States,>50K,Private,Masters,Married,Professional
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Male,0,0,40,United-States,<=50K,Self-employed,HS-grad,Never-married,Sales
26,Private,Masters,14,Never-married,Prof-specialty,Female,0,1876,40,United-States,<=50K,Private,Masters,Never-married,Professional
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,0,50,United-States,>50K,Private,Bachelors,Married,Manager
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Female,0,1340,40,United-States,<=50K,Gov,Some-college,Never-married,Professional
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Female,0,0,35,United-States,<=50K,Gov,HS-grad,Divorced,Adm-clerical
18,Private,11th,7,Never-married,Sales,Female,0,0,40,United-States,<=50K,Private,School,Never-married,Sales
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Male,7298,0,36,United-States,>50K,Private,Bachelors,Married,Service
35,Private,HS-grad,9,Divorced,Craft-repair,Male,0,0,60,United-States,<=50K,Private,HS-grad,Divorced,Service
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Female,15024,0,35,United-States,>50K,Self-employed,HS-grad,Married,Sales
17,Private,11th,7,Never-married,Sales,Female,0,0,12,United-States,<=50K,Private,School,Never-married,Sales
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,0,40,United-States,<=50K,Gov,HS-grad,Married,Service
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,>50K,Private,HS-grad,Married,Service
35,Private,Some-college,10,Never-married,Sales,Female,0,0,40,United-States,<=50K,Private,Some-college,Never-married,Sales
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,0,40,United-States,<=50K,Private,HS-grad,Married,Service
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Male,0,0,40,United-States,>50K,Self-employed,School,Married,Service
37,Private,Bachelors,13,Never-married,Exec-managerial,Male,0,0,60,United-States,>50K,Private,Bachelors,Never-married,Manager
50,Private,Assoc-acdm,12,Divorced,Sales,Female,0,0,40,United-States,<=50K,Private,Assoc-acdm,Divorced,Sales
38,Private,Bachelors,13,Married-civ-spouse,Sales,Male,0,0,50,Poland,<=50K,Private,Bachelors,Married,Sales
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,0,55,United-States,<=50K,Private,Bachelors,Married,Professional
25,Private,10th,6,Never-married,Craft-repair,Male,0,0,40,United-States,<=50K,Private,School,Never-married,Service
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Male,0,0,40,United-States,<=50K,Private,Some-college,Married,Service
90,Private,HS-grad,9,Never-married,Other-service,Male,0,2206,40,United-States,<=50K,Private,HS-grad,Never-married,Service
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Male,0,0,20,United-States,<=50K,Private,HS-grad,Married,Adm-clerical
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Female,0,0,35,United-States,<=50K,Gov,Preschool,Never-married,Service
18,Private,HS-grad,9,Never-married,Sales,Female,0,0,40,United-States,<=50K,Private,HS-grad,Never-married,Sales
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,1409,0,50,United-States,<=50K,Self-employed,HS-grad,Married,Farming
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Female,0,0,20,Columbia,<=50K,Private,Assoc-voc,Widowed,Adm-clerical
65,Private,HS-grad,9,Divorced,Adm-clerical,Female,0,0,40,United-States,<=50K,Private,HS-grad,Divorced,Adm-clerical
35,Private,11th,7,Separated,Transport-moving,Male,3674,0,40,United-States,<=50K,Private,School,Separated,Service
41,Private,HS-grad,9,Divorced,Sales,Female,0,0,38,United-States,<=50K,Private,HS-grad,Divorced,Sales
25,Private,Some-college,10,Never-married,Adm-clerical,Male,0,0,42,United-States,<=50K,Private,Some-college,Never-married,Adm-clerical
33,Private,Some-college,10,Divorced,Craft-repair,Female,0,0,40,United-States,<=50K,Private,Some-college,Divorced,Service
28,Private,Prof-school,15,Never-married,Prof-specialty,Male,0,0,55,United-States,>50K,Private,Prof-school,Never-married,Professional
