Date,Hour,Rented Bike Count
2017-12-11,8,653
2017-12-11,9,326
2017-12-11,10,212
2017-12-11,11,226
2017-12-11,12,247
2017-12-11,13,241
2017-12-11,14,253
2017-12-11,15,269
2017-12-11,16,277
2017-12-11,17,361
2017-12-11,18,557
2017-12-11,19,371
2017-12-11,20,254
2017-12-11,21,266
2017-12-11,22,222
2017-12-11,23,174
2017-12-12,0,133
2017-12-12,1,127
2017-12-12,2,95
2017-12-12,3,54
2017-12-12,4,46
2017-12-12,5,65
2017-12-12,6,104
2017-12-12,7,280
2017-12-12,8,580
2017-12-12,9,275
2017-12-12,10,184
2017-12-12,11,201
2017-12-12,12,228
2017-12-12,13,225
2017-12-12,14,258
2017-12-12,15,250
2017-12-12,16,248
2017-12-12,17,305
2017-12-12,18,529
2017-12-12,19,350
2017-12-12,20,260
2017-12-12,21,270
2017-12-12,22,256
2017-12-12,23,173
2017-12-13,0,168
2017-12-13,1,183
2017-12-13,2,120
2017-12-13,3,79
2017-12-13,4,41
2017-12-13,5,68
2017-12-13,6,109
2017-12-13,7,310
2017-12-13,8,591
2017-12-13,9,340
2017-12-13,10,202
2017-12-13,11,251
2017-12-13,12,267
2017-12-13,13,251
2017-12-13,14,240
2017-12-13,15,240
2017-12-13,16,278
2017-12-13,17,392
2017-12-13,18,537
2017-12-13,19,373
2017-12-13,20,263
2017-12-13,21,271
2017-12-13,22,271
2017-12-13,23,174
2017-12-14,0,171
2017-12-14,1,170
2017-12-14,2,107
2017-12-14,3,80
2017-12-14,4,52
2017-12-14,5,62
2017-12-14,6,108
2017-12-14,7,279
2017-12-14,8,621
2017-12-14,9,305
2017-12-14,10,189
2017-12-14,11,247
2017-12-14,12,278
2017-12-14,13,282
2017-12-14,14,294
2017-12-14,15,301
2017-12-14,16,335
2017-12-14,17,382
2017-12-14,18,612
2017-12-14,19,410
2017-12-14,20,277
2017-12-14,21,316
2017-12-14,22,309
2017-12-14,23,211
2017-12-15,0,227
2017-12-15,1,241
2017-12-15,2,162
2017-12-15,3,110
2017-12-15,4,69
2017-12-15,5,68
2017-12-15,6,129
2017-12-15,7,285
2017-12-15,8,658
2017-12-15,9,330
2017-12-15,10,221
2017-12-15,11,279
2017-12-15,12,309
2017-12-15,13,325
2017-12-15,14,329
2017-12-15,15,342
2017-12-15,16,354
2017-12-15,17,464
2017-12-15,18,682
2017-12-15,19,451
2017-12-15,20,320
2017-12-15,21,300
2017-12-15,22,296
2017-12-15,23,247
2017-12-16,0,217
2017-12-16,1,302
2017-12-16,2,228
2017-12-16,3,129
2017-12-16,4,80
2017-12-16,5,45
2017-12-16,6,66
2017-12-16,7,90
2017-12-16,8,190
2017-12-16,9,195
2017-12-16,10,201
2017-12-16,11,239
2017-12-16,12,252
2017-12-16,13,296
2017-12-16,14,292
2017-12-16,15,291
2017-12-16,16,258
2017-12-16,17,277
2017-12-16,18,212
2017-12-16,19,173
2017-12-16,20,143
2017-12-16,21,159
2017-12-16,22,155
2017-12-16,23,142
2017-12-17,0,175
2017-12-17,1,146
2017-12-17,2,132
2017-12-17,3,100
2017-12-17,4,41
2017-12-17,5,31
2017-12-17,6,39
2017-12-17,7,53
2017-12-17,8,94
2017-12-17,9,122
2017-12-17,10,142
2017-12-17,11,189
2017-12-17,12,216
2017-12-17,13,223
2017-12-17,14,268
2017-12-17,15,278
2017-12-17,16,256
2017-12-17,17,266
2017-12-17,18,204
2017-12-17,19,157
2017-12-17,20,166
2017-12-17,21,168
2017-12-17,22,172
2017-12-17,23,138
2017-12-18,0,151
2017-12-18,1,97
2017-12-18,2,38
2017-12-18,3,32
2017-12-18,4,29
2017-12-18,5,27
2017-12-18,6,45
2017-12-18,7,96
2017-12-18,8,146
2017-12-18,9,52
2017-12-18,10,36
2017-12-18,11,44
2017-12-18,12,62
2017-12-18,13,76
2017-12-18,14,116
2017-12-18,15,137
2017-12-18,16,181
2017-12-18,17,175
2017-12-18,18,281
2017-12-18,19,198
2017-12-18,20,165
2017-12-18,21,148
2017-12-18,22,160
2017-12-18,23,128
2017-12-19,0,122
2017-12-19,1,122
2017-12-19,2,93
2017-12-19,3,55
2017-12-19,4,39
2017-12-19,5,55
2017-12-19,6,78
2017-12-19,7,165
2017-12-19,8,390
2017-12-19,9,199
2017-12-19,10,151
2017-12-19,11,174
2017-12-19,12,191
2017-12-19,13,189
2017-12-19,14,178
2017-12-19,15,195
2017-12-19,16,211
2017-12-19,17,256
2017-12-19,18,384
2017-12-19,19,276
2017-12-19,20,225
2017-12-19,21,224
2017-12-19,22,213
2017-12-19,23,149
2017-12-20,0,142
2017-12-20,1,172
2017-12-20,2,108
2017-12-20,3,71
2017-12-20,4,38
2017-12-20,5,56
2017-12-20,6,97
2017-12-20,7,213
2017-12-20,8,466
2017-12-20,9,239
2017-12-20,10,162
2017-12-20,11,204
2017-12-20,12,209
2017-12-20,13,228
2017-12-20,14,243
2017-12-20,15,240
2017-12-20,16,225
2017-12-20,17,237
2017-12-20,18,329
2017-12-20,19,190
2017-12-20,20,165
2017-12-20,21,197
2017-12-20,22,184
2017-12-20,23,153
2017-12-21,0,166
2017-12-21,1,189
2017-12-21,2,132
2017-12-21,3,79
2017-12-21,4,58
2017-12-21,5,49
2017-12-21,6,84
2017-12-21,7,178
2017-12-21,8,423
2017-12-21,9,265
2017-12-21,10,169
2017-12-21,11,243
2017-12-21,12,290
2017-12-21,13,285
2017-12-21,14,255
2017-12-21,15,316
2017-12-21,16,301
2017-12-21,17,366
2017-12-21,18,531
2017-12-21,19,355
2017-12-21,20,288
2017-12-21,21,248
2017-12-21,22,252
2017-12-21,23,212
2017-12-22,0,196
2017-12-22,1,250
2017-12-22,2,161
2017-12-22,3,99
2017-12-22,4,64
2017-12-22,5,76
2017-12-22,6,114
2017-12-22,7,283
2017-12-22,8,544
2017-12-22,9,298
2017-12-22,10,248
2017-12-22,11,278
2017-12-22,12,301
2017-12-22,13,320
2017-12-22,14,326
2017-12-22,15,386
2017-12-22,16,416
2017-12-22,17,477
2017-12-22,18,671
2017-12-22,19,481
2017-12-22,20,323
2017-12-22,21,309
2017-12-22,22,314
2017-12-22,23,249
2017-12-23,0,282
2017-12-23,1,337
2017-12-23,2,312
2017-12-23,3,230
2017-12-23,4,120
2017-12-23,5,59
2017-12-23,6,63
2017-12-23,7,99
2017-12-23,8,188
2017-12-23,9,239
2017-12-23,10,235
2017-12-23,11,282
2017-12-23,12,325
2017-12-23,13,423
2017-12-23,14,405
2017-12-23,15,443
2017-12-23,16,473
2017-12-23,17,453
2017-12-23,18,340
2017-12-23,19,260
2017-12-23,20,258
2017-12-23,21,279
2017-12-23,22,282
2017-12-23,23,237
2017-12-24,0,266
2017-12-24,1,251
2017-12-24,2,196
2017-12-24,3,149
2017-12-24,4,79
2017-12-24,5,44
2017-12-24,6,12
2017-12-24,7,3
2017-12-24,8,4
2017-12-24,9,3
2017-12-24,10,4
2017-12-24,11,9
2017-12-24,12,4
2017-12-24,13,7
2017-12-24,14,28
2017-12-24,15,38
2017-12-24,16,54
2017-12-24,17,104
2017-12-24,18,128
2017-12-24,19,132
2017-12-24,20,116
2017-12-24,21,145
2017-12-24,22,110
2017-12-24,23,128
2017-12-25,0,160
2017-12-25,1,132
2017-12-25,2,115
2017-12-25,3,100
2017-12-25,4,72
2017-12-25,5,32
2017-12-25,6,59
2017-12-25,7,61
2017-12-25,8,94
2017-12-25,9,107
2017-12-25,10,133
2017-12-25,11,179
2017-12-25,12,221
2017-12-25,13,244
2017-12-25,14,274
2017-12-25,15,319
2017-12-25,16,272
2017-12-25,17,260
2017-12-25,18,237
2017-12-25,19,184
2017-12-25,20,181
2017-12-25,21,185
2017-12-25,22,176
2017-12-25,23,169
2017-12-26,0,178
2017-12-26,1,127
2017-12-26,2,85
2017-12-26,3,72
2017-12-26,4,49
2017-12-26,5,65
2017-12-26,6,120
2017-12-26,7,296
2017-12-26,8,578
2017-12-26,9,293
2017-12-26,10,180
2017-12-26,11,250
2017-12-26,12,262
2017-12-26,13,262
2017-12-26,14,271
2017-12-26,15,246
2017-12-26,16,282
2017-12-26,17,350
2017-12-26,18,481
2017-12-26,19,317
2017-12-26,20,252
2017-12-26,21,220
2017-12-26,22,213
2017-12-26,23,156
2017-12-27,0,133
2017-12-27,1,142
2017-12-27,2,93
2017-12-27,3,81
2017-12-27,4,55
2017-12-27,5,66
2017-12-27,6,105
2017-12-27,7,262
2017-12-27,8,502
2017-12-27,9,279
2017-12-27,10,146
2017-12-27,11,213
2017-12-27,12,230
2017-12-27,13,258
2017-12-27,14,231
2017-12-27,15,228
2017-12-27,16,269
2017-12-27,17,314
2017-12-27,18,466
2017-12-27,19,315
2017-12-27,20,262
2017-12-27,21,242
2017-12-27,22,243
2017-12-27,23,216
2017-12-28,0,164
2017-12-28,1,169
2017-12-28,2,163
2017-12-28,3,86
2017-12-28,4,50
2017-12-28,5,61
2017-12-28,6,103
2017-12-28,7,257
2017-12-28,8,554
2017-12-28,9,326
2017-12-28,10,225
2017-12-28,11,288
2017-12-28,12,286
2017-12-28,13,301
2017-12-28,14,311
2017-12-28,15,303
2017-12-28,16,390
2017-12-28,17,407
2017-12-28,18,552
2017-12-28,19,402
2017-12-28,20,319
2017-12-28,21,332
2017-12-28,22,285
2017-12-28,23,260
2017-12-29,0,233
2017-12-29,1,269
2017-12-29,2,210
2017-12-29,3,135
2017-12-29,4,85
2017-12-29,5,67
2017-12-29,6,128
2017-12-29,7,289
2017-12-29,8,636
2017-12-29,9,353
2017-12-29,10,252
2017-12-29,11,317
2017-12-29,12,363
2017-12-29,13,370
2017-12-29,14,419
2017-12-29,15,426
2017-12-29,16,504
2017-12-29,17,534
2017-12-29,18,574
2017-12-29,19,395
2017-12-29,20,292
2017-12-29,21,282
2017-12-29,22,294
2017-12-29,23,236
2017-12-30,0,240
2017-12-30,1,234
2017-12-30,2,192
2017-12-30,3,127
2017-12-30,4,86
2017-12-30,5,52
2017-12-30,6,62
2017-12-30,7,88
2017-12-30,8,162
2017-12-30,9,224
2017-12-30,10,208
2017-12-30,11,237
2017-12-30,12,274
2017-12-30,13,333
2017-12-30,14,356
2017-12-30,15,337
2017-12-30,16,345
2017-12-30,17,183
2017-12-30,18,45
2017-12-30,19,40
2017-12-30,20,66
2017-12-30,21,64
2017-12-30,22,30
2017-12-30,23,42
2017-12-31,0,43
2017-12-31,1,43
2017-12-31,2,65
2017-12-31,3,65
2017-12-31,4,32
2017-12-31,5,22
2017-12-31,6,25
2017-12-31,7,39
2017-12-31,8,84
2017-12-31,9,103
2017-12-31,10,110
2017-12-31,11,142
2017-12-31,12,209
2017-12-31,13,267
2017-12-31,14,262
2017-12-31,15,300
2017-12-31,16,272
2017-12-31,17,240
2017-12-31,18,215
2017-12-31,19,163
2017-12-31,20,161
2017-12-31,21,179
2017-12-31,22,155
2017-12-31,23,227
2018-01-01,0,206
2018-01-01,1,230
2018-01-01,2,178
2018-01-01,3,119
2018-01-01,4,62
2018-01-01,5,61
2018-01-01,6,65
2018-01-01,7,81
2018-01-01,8,89
2018-01-01,9,121
2018-01-01,10,139
2018-01-01,11,169
2018-01-01,12,225
2018-01-01,13,248
2018-01-01,14,298
2018-01-01,15,344
2018-01-01,16,310
2018-01-01,17,271
2018-01-01,18,218
2018-01-01,19,125
2018-01-01,20,206
2018-01-01,21,203
2018-01-01,22,168
2018-01-01,23,154
2018-01-02,0,148
2018-01-02,1,108
2018-01-02,2,69
2018-01-02,3,41
2018-01-02,4,31
2018-01-02,5,58
2018-01-02,6,139
2018-01-02,7,344
2018-01-02,8,655
2018-01-02,9,315
2018-01-02,10,208
2018-01-02,11,269
2018-01-02,12,293
2018-01-02,13,273
2018-01-02,14,302
2018-01-02,15,295
2018-01-02,16,320
2018-01-02,17,373
2018-01-02,18,675
2018-01-02,19,403
2018-01-02,20,364
2018-01-02,21,304
2018-01-02,22,273
2018-01-02,23,186
2018-01-03,0,160
2018-01-03,1,130
2018-01-03,2,110
2018-01-03,3,67
2018-01-03,4,43
2018-01-03,5,67
2018-01-03,6,137
2018-01-03,7,308
2018-01-03,8,670
2018-01-03,9,342
2018-01-03,10,213
2018-01-03,11,267
2018-01-03,12,297
2018-01-03,13,279
2018-01-03,14,270
2018-01-03,15,286
2018-01-03,16,299
2018-01-03,17,382
2018-01-03,18,637
2018-01-03,19,431
2018-01-03,20,294
2018-01-03,21,335
2018-01-03,22,291
2018-01-03,23,197
2018-01-04,0,159
2018-01-04,1,150
2018-01-04,2,123
2018-01-04,3,57
2018-01-04,4,38
2018-01-04,5,66
2018-01-04,6,120
2018-01-04,7,302
2018-01-04,8,646
2018-01-04,9,340
2018-01-04,10,197
2018-01-04,11,264
2018-01-04,12,290
2018-01-04,13,284
2018-01-04,14,262
2018-01-04,15,281
2018-01-04,16,309
2018-01-04,17,397
2018-01-04,18,603
2018-01-04,19,417
2018-01-04,20,311
2018-01-04,21,310
2018-01-04,22,306
2018-01-04,23,221
2018-01-05,0,202
2018-01-05,1,170
2018-01-05,2,118
2018-01-05,3,67
2018-01-05,4,47
2018-01-05,5,75
2018-01-05,6,123
2018-01-05,7,327
2018-01-05,8,665
2018-01-05,9,354
2018-01-05,10,232
2018-01-05,11,308
2018-01-05,12,362
2018-01-05,13,312
2018-01-05,14,343
2018-01-05,15,333
2018-01-05,16,329
2018-01-05,17,446
2018-01-05,18,635
2018-01-05,19,443
2018-01-05,20,322
2018-01-05,21,284
2018-01-05,22,281
2018-01-05,23,189
2018-01-06,0,184
2018-01-06,1,222
2018-01-06,2,176
2018-01-06,3,103
2018-01-06,4,61
2018-01-06,5,48
2018-01-06,6,69
2018-01-06,7,105
2018-01-06,8,186
2018-01-06,9,221
2018-01-06,10,204
2018-01-06,11,245
2018-01-06,12,283
2018-01-06,13,356
2018-01-06,14,370
2018-01-06,15,373
2018-01-06,16,352
2018-01-06,17,354
2018-01-06,18,271
2018-01-06,19,207
2018-01-06,20,189
2018-01-06,21,214
2018-01-06,22,218
2018-01-06,23,169
2018-01-07,0,192
2018-01-07,1,162
2018-01-07,2,128
2018-01-07,3,102
2018-01-07,4,62
2018-01-07,5,40
2018-01-07,6,38
2018-01-07,7,60
2018-01-07,8,122
2018-01-07,9,143
2018-01-07,10,179
2018-01-07,11,214
2018-01-07,12,278
2018-01-07,13,265
2018-01-07,14,331
2018-01-07,15,368
2018-01-07,16,333
2018-01-07,17,349
2018-01-07,18,270
2018-01-07,19,246
2018-01-07,20,233
2018-01-07,21,236
2018-01-07,22,214
2018-01-07,23,149
2018-01-08,0,149
2018-01-08,1,109
2018-01-08,2,77
2018-01-08,3,53
2018-01-08,4,46
2018-01-08,5,67
2018-01-08,6,159
2018-01-08,7,374
2018-01-08,8,701
2018-01-08,9,387
2018-01-08,10,253
2018-01-08,11,278
2018-01-08,12,356
2018-01-08,13,303
2018-01-08,14,349
2018-01-08,15,318
2018-01-08,16,353
2018-01-08,17,385
2018-01-08,18,316
2018-01-08,19,127
2018-01-08,20,144
2018-01-08,21,146
2018-01-08,22,149
2018-01-08,23,112
2018-01-09,0,100
2018-01-09,1,107
2018-01-09,2,75
2018-01-09,3,52
2018-01-09,4,38
2018-01-09,5,52
2018-01-09,6,126
2018-01-09,7,245
2018-01-09,8,554
2018-01-09,9,320
2018-01-09,10,190
2018-01-09,11,247
2018-01-09,12,262
2018-01-09,13,265
2018-01-09,14,265
2018-01-09,15,257
2018-01-09,16,262
2018-01-09,17,332
2018-01-09,18,558
2018-01-09,19,364
2018-01-09,20,302
2018-01-09,21,281
2018-01-09,22,166
2018-01-09,23,80
2018-01-10,0,61
2018-01-10,1,78
2018-01-10,2,63
2018-01-10,3,40
2018-01-10,4,31
2018-01-10,5,39
2018-01-10,6,84
2018-01-10,7,158
2018-01-10,8,387
2018-01-10,9,225
2018-01-10,10,150
2018-01-10,11,168
2018-01-10,12,217
2018-01-10,13,207
2018-01-10,14,177
2018-01-10,15,193
2018-01-10,16,196
2018-01-10,17,266
2018-01-10,18,437
2018-01-10,19,259
2018-01-10,20,207
2018-01-10,21,214
2018-01-10,22,165
2018-01-10,23,139
2018-01-11,0,98
2018-01-11,1,100
2018-01-11,2,89
2018-01-11,3,38
2018-01-11,4,33
2018-01-11,5,42
2018-01-11,6,82
2018-01-11,7,203
2018-01-11,8,443
2018-01-11,9,227
2018-01-11,10,152
2018-01-11,11,146
2018-01-11,12,187
2018-01-11,13,178
2018-01-11,14,187
2018-01-11,15,181
2018-01-11,16,179
2018-01-11,17,219
2018-01-11,18,352
2018-01-11,19,251
2018-01-11,20,177
2018-01-11,21,162
2018-01-11,22,172
2018-01-11,23,119
2018-01-12,0,105
2018-01-12,1,99
2018-01-12,2,83
2018-01-12,3,42
2018-01-12,4,30
2018-01-12,5,35
2018-01-12,6,92
2018-01-12,7,189
2018-01-12,8,419
2018-01-12,9,196
2018-01-12,10,119
2018-01-12,11,140
2018-01-12,12,178
2018-01-12,13,177
2018-01-12,14,173
2018-01-12,15,177
2018-01-12,16,196
2018-01-12,17,259
2018-01-12,18,405
2018-01-12,19,273
2018-01-12,20,210
2018-01-12,21,184
2018-01-12,22,186
2018-01-12,23,144
2018-01-13,0,152
2018-01-13,1,168
2018-01-13,2,145
2018-01-13,3,77
2018-01-13,4,47
2018-01-13,5,40
2018-01-13,6,42
2018-01-13,7,43
2018-01-13,8,67
2018-01-13,9,102
2018-01-13,10,106
2018-01-13,11,133
2018-01-13,12,174
2018-01-13,13,212
2018-01-13,14,215
2018-01-13,15,251
2018-01-13,16,249
2018-01-13,17,277
2018-01-13,18,223
2018-01-13,19,167
2018-01-13,20,158
2018-01-13,21,156
2018-01-13,22,168
2018-01-13,23,131
2018-01-14,0,149
2018-01-14,1,150
2018-01-14,2,111
2018-01-14,3,79
2018-01-14,4,48
2018-01-14,5,29
2018-01-14,6,49
2018-01-14,7,59
2018-01-14,8,81
2018-01-14,9,118
2018-01-14,10,134
2018-01-14,11,174
2018-01-14,12,226
2018-01-14,13,272
2018-01-14,14,304
2018-01-14,15,353
2018-01-14,16,366
2018-01-14,17,302
2018-01-14,18,250
2018-01-14,19,208
2018-01-14,20,210
2018-01-14,21,213
2018-01-14,22,196
2018-01-14,23,144
2018-01-15,0,171
2018-01-15,1,122
2018-01-15,2,74
2018-01-15,3,58
2018-01-15,4,38
2018-01-15,5,55
2018-01-15,6,82
2018-01-15,7,209
2018-01-15,8,444
2018-01-15,9,303
2018-01-15,10,212
2018-01-15,11,254
2018-01-15,12,311
2018-01-15,13,309
2018-01-15,14,306
2018-01-15,15,349
2018-01-15,16,365
2018-01-15,17,455
2018-01-15,18,555
2018-01-15,19,444
2018-01-15,20,321
2018-01-15,21,334
2018-01-15,22,333
2018-01-15,23,230
2018-01-16,0,212
2018-01-16,1,207
2018-01-16,2,141
2018-01-16,3,81
2018-01-16,4,51
2018-01-16,5,58
2018-01-16,6,140
2018-01-16,7,318
2018-01-16,8,650
2018-01-16,9,376
2018-01-16,10,221
2018-01-16,11,256
2018-01-16,12,276
2018-01-16,13,296
2018-01-16,14,276
2018-01-16,15,250
2018-01-16,16,277
2018-01-16,17,381
2018-01-16,18,592
2018-01-16,19,409
2018-01-16,20,332
2018-01-16,21,342
2018-01-16,22,321
2018-01-16,23,242
2018-01-17,0,204
2018-01-17,1,183
2018-01-17,2,140
2018-01-17,3,75
2018-01-17,4,55
2018-01-17,5,72
2018-01-17,6,115
2018-01-17,7,272
2018-01-17,8,537
2018-01-17,9,337
2018-01-17,10,212
2018-01-17,11,270
2018-01-17,12,310
2018-01-17,13,273
2018-01-17,14,258
2018-01-17,15,278
2018-01-17,16,314
2018-01-17,17,380
2018-01-17,18,501
2018-01-17,19,360
2018-01-17,20,286
2018-01-17,21,320
2018-01-17,22,313
2018-01-17,23,227
2018-01-18,0,215
2018-01-18,1,190
2018-01-18,2,137
2018-01-18,3,95
2018-01-18,4,50
2018-01-18,5,68
2018-01-18,6,107
2018-01-18,7,279
2018-01-18,8,537
2018-01-18,9,305
2018-01-18,10,188
2018-01-18,11,261
2018-01-18,12,267
2018-01-18,13,307
2018-01-18,14,301
2018-01-18,15,269
2018-01-18,16,328
2018-01-18,17,416
2018-01-18,18,506
2018-01-18,19,365
2018-01-18,20,303
2018-01-18,21,339
2018-01-18,22,318
2018-01-18,23,232
2018-01-19,0,211
2018-01-19,1,207
2018-01-19,2,140
2018-01-19,3,93
2018-01-19,4,58
2018-01-19,5,61
2018-01-19,6,151
2018-01-19,7,334
2018-01-19,8,648
2018-01-19,9,387
2018-01-19,10,255
2018-01-19,11,283
2018-01-19,12,341
2018-01-19,13,341
2018-01-19,14,349
2018-01-19,15,381
2018-01-19,16,390
2018-01-19,17,468
2018-01-19,18,702
2018-01-19,19,471
2018-01-19,20,342
2018-01-19,21,331
2018-01-19,22,292
2018-01-19,23,236
2018-01-20,0,228
2018-01-20,1,258
2018-01-20,2,216
2018-01-20,3,118
2018-01-20,4,89
2018-01-20,5,56
2018-01-20,6,50
2018-01-20,7,101
2018-01-20,8,191
2018-01-20,9,234
2018-01-20,10,259
2018-01-20,11,285
2018-01-20,12,325
2018-01-20,13,356
2018-01-20,14,334
2018-01-20,15,406
2018-01-20,16,352
2018-01-20,17,377
2018-01-20,18,283
2018-01-20,19,223
2018-01-20,20,219
2018-01-20,21,220
2018-01-20,22,232
2018-01-20,23,164
2018-01-21,0,196
2018-01-21,1,177
2018-01-21,2,107
2018-01-21,3,107
2018-01-21,4,73
2018-01-21,5,32
2018-01-21,6,36
2018-01-21,7,61
2018-01-21,8,115
2018-01-21,9,152
2018-01-21,10,189
2018-01-21,11,216
2018-01-21,12,271
2018-01-21,13,343
2018-01-21,14,340
2018-01-21,15,389
2018-01-21,16,396
2018-01-21,17,383
2018-01-21,18,295
2018-01-21,19,223
2018-01-21,20,258
2018-01-21,21,237
2018-01-21,22,207
2018-01-21,23,170
2018-01-22,0,171
2018-01-22,1,97
2018-01-22,2,73
2018-01-22,3,53
2018-01-22,4,31
2018-01-22,5,60
2018-01-22,6,165
2018-01-22,7,316
2018-01-22,8,683
2018-01-22,9,365
2018-01-22,10,221
2018-01-22,11,277
2018-01-22,12,323
2018-01-22,13,281
2018-01-22,14,249
2018-01-22,15,63
2018-01-22,16,18
2018-01-22,17,43
2018-01-22,18,170
2018-01-22,19,167
2018-01-22,20,181
